outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,pa_id
6,116,"Tonas, A. VS Shapiro, C.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","Shapiro, C.",T8,7-8,-,2,0,2,Ball,Fastball,88,,,,T,1,8,1
6,117,"Tonas, A. VS Shapiro, C.",University of Massachusetts vs Georgetown University,,,8,,"Tonas, A.","Shapiro, C.",T8,7-8,-,2,1,2,BIP,Slider,75,Ground Ball,Groundout,,T,1,8,1
6,118,"Tonas, A. VS Skagerlind, K.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","Skagerlind, K.",T9,7-8,-,0,0,0,Strike Taken,Slider,77,,,,T,1,9,2
6,119,"Tonas, A. VS Skagerlind, K.",University of Massachusetts vs Georgetown University,,,8,,"Tonas, A.","Skagerlind, K.",T9,7-8,-,0,0,1,BIP,Changeup,81,Fly Ball,Flyout,,T,1,9,2
6,120,"Tonas, A. VS DeMartino, D.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","DeMartino, D.",T9,7-8,-,1,0,0,Strike Taken,Fastball,87,,,,T,1,9,3
6,121,"Tonas, A. VS DeMartino, D.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","DeMartino, D.",T9,7-8,-,1,0,1,Strike Taken,Changeup,81,,,,T,1,9,3
6,122,"Tonas, A. VS DeMartino, D.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","DeMartino, D.",T9,7-8,-,1,0,2,Foul,Fastball,89,,,,T,1,9,3
6,123,"Tonas, A. VS DeMartino, D.",University of Massachusetts vs Georgetown University,,,4,,"Tonas, A.","DeMartino, D.",T9,7-8,-,1,0,2,Ball,Changeup,83,,,,T,1,9,3
6,124,"Tonas, A. VS DeMartino, D.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","DeMartino, D.",T9,7-8,-,1,1,2,Foul,Slider,78,,,,T,1,9,3
6,125,"Tonas, A. VS DeMartino, D.",University of Massachusetts vs Georgetown University,,,6,,"Tonas, A.","DeMartino, D.",T9,7-8,-,1,1,2,Strike Swinging,Fastball,87,,,Strikeout,T,1,9,3
6,126,"Tonas, A. VS Rounds, M.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","Rounds, M.",T9,7-8,-,2,0,0,Strike Taken,Fastball,88,,,,T,1,9,4
6,127,"Tonas, A. VS Rounds, M.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","Rounds, M.",T9,7-8,-,2,0,1,Strike Taken,Fastball,87,,,,T,1,9,4
6,128,"Tonas, A. VS Rounds, M.",University of Massachusetts vs Georgetown University,,,6,,"Tonas, A.","Rounds, M.",T9,7-8,-,2,0,2,Strike Swinging,Slider,78,,,Strikeout,T,1,9,4
6,129,"Tonas, A. VS Rounds, M.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","Rounds, M.",T9,6-11,1B,1,0,0,Foul,Fastball,86,,,,T,1,9,4
6,130,"Tonas, A. VS Rounds, M.",University of Massachusetts vs Georgetown University,,,14,,"Tonas, A.","Rounds, M.",T9,6-11,1B,1,0,1,BIP,Slider,77,Fly Ball,Double,,T,1,9,4
6,131,"Tonas, A. VS MacLean, W.",University of Massachusetts vs Georgetown University,,,9,,"Tonas, A.","MacLean, W.",T9,6-11,2B-3B,1,0,0,BIP,Fastball,87,Ground Ball,Groundout,,T,1,9,5
6,132,"Tonas, A. VS Given, J.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","Given, J.",T9,7-11,3B,2,0,0,Foul,Fastball,87,,,,T,1,9,6
6,133,"Tonas, A. VS Given, J.",University of Massachusetts vs Georgetown University,,,5,,"Tonas, A.","Given, J.",T9,7-11,3B,2,0,1,Foul,Fastball,87,,,,T,1,9,6
