X.,Title,Notes,Tags,Text.Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners.On.Base,Outs,Count,Pitch.Result,Pitch.Type,Velocity..MPH.,BIP.Type,BIP.Result,Non.BIP.Result
"Jensen, C. VS Samuelson, T.",Stanford University vs Cal Poly,,,00:00:05.9,,"Jensen, C.","Samuelson, T.",B1,0-1,1B-2B-3B,2,1-1,Foul,Slider,0,"","","",
"Jensen, C. VS Samuelson, T.",Stanford University vs Cal Poly,,,00:00:05.8,,"Jensen, C.","Samuelson, T.",B1,0-1,1B-2B-3B,2,1-2,Strike Swinging,Slider,0,"","",Strikeout,
"Jensen, C. VS Lagattuta, J.",Stanford University vs Cal Poly,,,00:00:04.6,,"Jensen, C.","Lagattuta, J.",B2,6-1, - ,0,0-0,Ball,Fastball,0,"","","",
"Jensen, C. VS Lagattuta, J.",Stanford University vs Cal Poly,,,00:00:04.9,,"Jensen, C.","Lagattuta, J.",B2,6-1, - ,0,1-0,Foul,Fastball,0,"","","",
"Jensen, C. VS Lagattuta, J.",Stanford University vs Cal Poly,,,00:00:04.7,,"Jensen, C.","Lagattuta, J.",B2,6-1, - ,0,1-1,Ball,Changeup,0,"","","",
"Jensen, C. VS Lagattuta, J.",Stanford University vs Cal Poly,,,00:00:04.8,,"Jensen, C.","Lagattuta, J.",B2,6-1, - ,0,2-1,Strike Swinging,Fastball,0,"","","",
"Jensen, C. VS Lagattuta, J.",Stanford University vs Cal Poly,,,00:00:06.1,,"Jensen, C.","Lagattuta, J.",B2,6-1, - ,0,2-2,Ball,Changeup,0,"","","",
"Jensen, C. VS Lagattuta, J.",Stanford University vs Cal Poly,,,00:00:07.3,,"Jensen, C.","Lagattuta, J.",B2,6-1, - ,0,3-2,Foul,Fastball,0,"","","",
"Jensen, C. VS Lagattuta, J.",Stanford University vs Cal Poly,,,00:00:04.6,,"Jensen, C.","Lagattuta, J.",B2,6-1, - ,0,3-2,Strike Swinging,Fastball,0,"","",Strikeout,
"Jensen, C. VS Doss, R.",Stanford University vs Cal Poly,,,00:00:04.7,,"Jensen, C.","Doss, R.",B2,6-1, - ,1,0-0,Ball,Fastball,0,"","","",
"Jensen, C. VS Doss, R.",Stanford University vs Cal Poly,,,00:00:04.7,,"Jensen, C.","Doss, R.",B2,6-1, - ,1,1-0,Ball,Fastball,0,"","","",
"Jensen, C. VS Doss, R.",Stanford University vs Cal Poly,,,00:00:05.4,,"Jensen, C.","Doss, R.",B2,6-1, - ,1,2-0,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Doss, R.",Stanford University vs Cal Poly,,,00:00:12.1,,"Jensen, C.","Doss, R.",B2,6-1, - ,1,2-1,BIP,Fastball,0,Line Drive,Single,"",
"Jensen, C. VS Stafford, R.",Stanford University vs Cal Poly,,,00:00:05.6,,"Jensen, C.","Stafford, R.",B2,6-1,1B,1,0-0,Strike Taken,Slider,0,"","","",
"Jensen, C. VS Stafford, R.",Stanford University vs Cal Poly,,,00:00:04.7,,"Jensen, C.","Stafford, R.",B2,6-1,1B,1,0-1,Foul,Slider,0,"","","",
"Jensen, C. VS Stafford, R.",Stanford University vs Cal Poly,,,00:00:04.7,,"Jensen, C.","Stafford, R.",B2,6-1,1B,1,0-2,Ball,Fastball,0,"","","",
"Jensen, C. VS Stafford, R.",Stanford University vs Cal Poly,,,00:00:11.5,,"Jensen, C.","Stafford, R.",B2,6-1,1B,1,1-2,BIP,Slider,0,Ground Ball,Single,"",
"Jensen, C. VS Lee, B.",Stanford University vs Cal Poly,,,00:00:04.7,,"Jensen, C.","Lee, B.",B2,6-1,1B-2B,1,0-0,Ball,Fastball,0,"","","",
"Jensen, C. VS Lee, B.",Stanford University vs Cal Poly,,,00:00:04.8,,"Jensen, C.","Lee, B.",B2,6-1,1B-2B,1,1-0,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Lee, B.",Stanford University vs Cal Poly,,,00:00:12.9,,"Jensen, C.","Lee, B.",B2,6-1,1B-2B,1,1-1,BIP,Changeup,0,Fly Ball,Flyout,"",
"Jensen, C. VS Yorke, J.",Stanford University vs Cal Poly,,,00:00:05.9,,"Jensen, C.","Yorke, J.",B2,6-1,1B-2B,2,0-0,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Yorke, J.",Stanford University vs Cal Poly,,,00:00:05.6,,"Jensen, C.","Yorke, J.",B2,6-1,1B-2B,2,0-1,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Yorke, J.",Stanford University vs Cal Poly,,,00:00:05.3,,"Jensen, C.","Yorke, J.",B2,6-1,1B-2B,2,0-2,Ball,Fastball,0,"","","",
"Jensen, C. VS Yorke, J.",Stanford University vs Cal Poly,,,00:00:12.4,,"Jensen, C.","Yorke, J.",B2,6-1,1B-2B,2,1-2,BIP,Changeup,0,Popup,Popout,"",
"Jensen, C. VS Villegas, C.",Stanford University vs Cal Poly,,,00:00:05.9,,"Jensen, C.","Villegas, C.",B3,8-1, - ,0,0-0,Ball,Fastball,0,"","","",
"Jensen, C. VS Villegas, C.",Stanford University vs Cal Poly,,,00:00:05.9,,"Jensen, C.","Villegas, C.",B3,8-1, - ,0,1-0,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Villegas, C.",Stanford University vs Cal Poly,,,00:00:05.6,,"Jensen, C.","Villegas, C.",B3,8-1, - ,0,1-1,Ball,Slider,0,"","","",
"Jensen, C. VS Villegas, C.",Stanford University vs Cal Poly,,,00:00:05.1,,"Jensen, C.","Villegas, C.",B3,8-1, - ,0,2-1,Foul,Fastball,0,"","","",
