outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,gtown_score,pa_id
16,388,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,00:00:05.2,,"Tonas, A.","Morris, Z.",T9,7,9, - ,1,1,0,Ball,Slider,0,"","",,,T,1,9,9,2
16,389,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,00:00:05.3,,"Tonas, A.","Morris, Z.",T9,7,9, - ,1,2,0,Strike Taken,Fastball,0,"","",,,T,1,9,9,2
16,390,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,00:00:05.5,,"Tonas, A.","Morris, Z.",T9,7,9, - ,1,2,1,Foul,Slider,0,"","",,,T,1,9,9,2
16,391,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,00:00:09.5,,"Tonas, A.","Morris, Z.",T9,7,9, - ,1,2,2,BIP,Fastball,0,Ground Ball,Groundout,,,T,1,9,9,2
16,392,"Tonas, A. VS Whitmore, R.",Virginia Military Institute vs Georgetown University,,,00:00:05.3,,"Tonas, A.","Whitmore, R.",T9,7,9, - ,2,0,0,Strike Taken,Fastball,0,"","",,,T,1,9,9,3
16,393,"Tonas, A. VS Whitmore, R.",Virginia Military Institute vs Georgetown University,,,00:00:05.3,,"Tonas, A.","Whitmore, R.",T9,7,9, - ,2,0,1,Ball,Changeup,0,"","",,,T,1,9,9,3
16,394,"Tonas, A. VS Whitmore, R.",Virginia Military Institute vs Georgetown University,,,00:00:05.4,,"Tonas, A.","Whitmore, R.",T9,7,9, - ,2,1,1,Ball,Slider,0,"","",,,T,1,9,9,3
16,395,"Tonas, A. VS Whitmore, R.",Virginia Military Institute vs Georgetown University,,,00:00:14.7,,"Tonas, A.","Whitmore, R.",T9,7,9, - ,2,2,1,BIP,Fastball,0,Fly Ball,Double,,,T,1,9,9,3
16,396,"Tonas, A. VS Jenkins, C.",Virginia Military Institute vs Georgetown University,,,00:00:05.3,,"Tonas, A.","Jenkins, C.",T9,7,9,2B,2,0,0,Strike Swinging,Fastball,0,"","",,,T,1,9,9,4
16,397,"Tonas, A. VS Jenkins, C.",Virginia Military Institute vs Georgetown University,,,00:00:05.6,,"Tonas, A.","Jenkins, C.",T9,7,9,2B,2,0,1,Foul,Changeup,0,"","",,,T,1,9,9,4
16,398,"Tonas, A. VS Jenkins, C.",Virginia Military Institute vs Georgetown University,,,00:00:05.3,,"Tonas, A.","Jenkins, C.",T9,7,9,2B,2,0,2,Ball,Slider,0,"","",,,T,1,9,9,4
16,399,"Tonas, A. VS Jenkins, C.",Virginia Military Institute vs Georgetown University,,,00:00:05.6,,"Tonas, A.","Jenkins, C.",T9,7,9,2B,2,1,2,Strike Swinging,Slider,0,"","",Strikeout,,T,1,9,9,4
17,400,"Tonas, A. VS Fisher, R.",Georgetown University vs Mount St. Mary's University,,,00:00:04.7,,"Tonas, A.","Fisher, R.",B4,0,3,1B-2B-3B,2,0,0,Strike Taken,Unknown,0,"","",,,B,0,4,0,1
17,401,"Tonas, A. VS Fisher, R.",Georgetown University vs Mount St. Mary's University,,,00:00:04.8,,"Tonas, A.","Fisher, R.",B4,0,3,1B-2B-3B,2,0,1,Strike Taken,Unknown,0,"","",,,B,0,4,0,1
17,402,"Tonas, A. VS Fisher, R.",Georgetown University vs Mount St. Mary's University,,,00:00:04.8,,"Tonas, A.","Fisher, R.",B4,0,3,1B-2B-3B,2,0,2,Ball,Unknown,0,"","",,,B,0,4,0,1
17,403,"Tonas, A. VS Fisher, R.",Georgetown University vs Mount St. Mary's University,,,00:00:04.9,,"Tonas, A.","Fisher, R.",B4,0,3,1B-2B-3B,2,1,2,Strike Swinging,Unknown,0,"","",Strikeout,,B,0,4,0,1
17,404,"Tonas, A. VS Bramley, T.",Georgetown University vs Mount St. Mary's University,,,00:00:05.4,,"Tonas, A.","Bramley, T.",B5,0,3, - ,0,0,0,Ball,Unknown,0,"","",,,B,0,5,0,2
