outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,gtown_score,pa_id
19,285,"Jensen, C. VS Walsh, J.",University of Oregon vs Stanford University,,,00:00:04.4,,"Jensen, C.","Walsh, J.",T9,4,10,3B,2,1,0,Strike Taken,Fastball,87,"","",,,T,1,9,10,6
19,286,"Jensen, C. VS Walsh, J.",University of Oregon vs Stanford University,,,00:00:04.2,,"Jensen, C.","Walsh, J.",T9,4,10,3B,2,1,1,Ball,Fastball,90,"","",,,T,1,9,10,6
19,287,"Jensen, C. VS Walsh, J.",University of Oregon vs Stanford University,,,00:00:15.6,,"Jensen, C.","Walsh, J.",T9,4,10,3B,2,2,1,BIP,Fastball,87,Fly Ball,Home Run,,,T,1,9,10,6
19,288,"Jensen, C. VS Kasevich, J.",University of Oregon vs Stanford University,,,00:00:04.5,,"Jensen, C.","Kasevich, J.",T9,6,10, - ,2,0,0,Strike Taken,Slider,78,"","",,,T,1,9,10,7
19,289,"Jensen, C. VS Kasevich, J.",University of Oregon vs Stanford University,,,00:00:04.3,,"Jensen, C.","Kasevich, J.",T9,6,10, - ,2,0,1,Ball,Slider,76,"","",,,T,1,9,10,7
19,290,"Jensen, C. VS Kasevich, J.",University of Oregon vs Stanford University,,,00:00:09.2,,"Jensen, C.","Kasevich, J.",T9,6,10, - ,2,1,1,BIP,Fastball,89,Ground Ball,Groundout,,,T,1,9,10,7
20,291,"Jensen, C. VS Walsh, J.",University of Oregon vs Stanford University,,,00:00:04.5,,"Jensen, C.","Walsh, J.",T9,4,3,1B,1,0,0,Foul,Fastball,0,"","",,,T,1,9,3,1
20,292,"Jensen, C. VS Walsh, J.",University of Oregon vs Stanford University,,,00:00:04.9,,"Jensen, C.","Walsh, J.",T9,4,3,1B,1,0,1,Foul,Fastball,0,"","",,,T,1,9,3,1
20,293,"Jensen, C. VS Walsh, J.",University of Oregon vs Stanford University,,,00:00:04.9,,"Jensen, C.","Walsh, J.",T9,4,3,1B,1,0,2,Foul,Changeup,0,"","",,,T,1,9,3,1
20,294,"Jensen, C. VS Walsh, J.",University of Oregon vs Stanford University,,,00:00:06.3,,"Jensen, C.","Walsh, J.",T9,4,3,1B,1,0,2,BIP,Slider,0,Fly Ball,Flyout,,,T,1,9,3,1
20,295,"Jensen, C. VS Kasevich, J.",University of Oregon vs Stanford University,,,00:00:06.3,,"Jensen, C.","Kasevich, J.",T9,4,3,1B,2,0,0,BIP,Changeup,0,Ground Ball,Groundout,,,T,1,9,3,2
21,296,"Jensen, C. VS Tarlow, G.",Cal State-Northridge vs Stanford University,,,00:00:04.6,,"Jensen, C.","Tarlow, G.",T8,0,6, - ,0,0,0,Strike Taken,Fastball,88,"","",,,T,1,8,6,1
21,297,"Jensen, C. VS Tarlow, G.",Cal State-Northridge vs Stanford University,,,00:00:04.2,,"Jensen, C.","Tarlow, G.",T8,0,6, - ,0,0,1,Ball,Fastball,89,"","",,,T,1,8,6,1
21,298,"Jensen, C. VS Tarlow, G.",Cal State-Northridge vs Stanford University,,,00:00:04.3,,"Jensen, C.","Tarlow, G.",T8,0,6, - ,0,1,1,Strike Taken,Slider,77,"","",,,T,1,8,6,1
21,299,"Jensen, C. VS Tarlow, G.",Cal State-Northridge vs Stanford University,,,00:00:08.4,,"Jensen, C.","Tarlow, G.",T8,0,6, - ,0,1,2,BIP,Fastball,89,Ground Ball,Groundout,,,T,1,8,6,1
21,300,"Jensen, C. VS Barraza, N.",Cal State-Northridge vs Stanford University,,,00:00:04.2,,"Jensen, C.","Barraza, N.",T8,0,6, - ,1,0,0,Ball,Fastball,89,"","",,,T,1,8,6,2
21,301,"Jensen, C. VS Barraza, N.",Cal State-Northridge vs Stanford University,,,00:00:04.3,,"Jensen, C.","Barraza, N.",T8,0,6, - ,1,1,0,Ball,Fastball,88,"","",,,T,1,8,6,2
21,302,"Jensen, C. VS Barraza, N.",Cal State-Northridge vs Stanford University,,,00:00:04.1,,"Jensen, C.","Barraza, N.",T8,0,6, - ,1,2,0,Ball,Fastball,88,"","",,,T,1,8,6,2
21,303,"Jensen, C. VS Barraza, N.",Cal State-Northridge vs Stanford University,,,00:00:04.5,,"Jensen, C.","Barraza, N.",T8,0,6, - ,1,3,0,Strike Taken,Fastball,87,"","",,,T,1,8,6,2
21,304,"Jensen, C. VS Barraza, N.",Cal State-Northridge vs Stanford University,,,00:00:04.8,,"Jensen, C.","Barraza, N.",T8,0,6, - ,1,3,1,Strike Swinging,Fastball,86,"","",,,T,1,8,6,2
21,305,"Jensen, C. VS Barraza, N.",Cal State-Northridge vs Stanford University,,,00:00:04.4,,"Jensen, C.","Barraza, N.",T8,0,6, - ,1,3,2,Ball,Fastball,87,"","",Walk,,T,1,8,6,2
21,306,"Jensen, C. VS Le, M.",Cal State-Northridge vs Stanford University,,,00:00:04.2,,"Jensen, C.","Le, M.",T8,0,6,1B,1,0,0,Foul,Fastball,87,"","",,,T,1,8,6,3
21,307,"Jensen, C. VS Le, M.",Cal State-Northridge vs Stanford University,,,00:00:09.5,,"Jensen, C.","Le, M.",T8,0,6,1B,1,0,1,BIP,Curveball,73,Fly Ball,Flyout,,,T,1,8,6,3
21,308,"Jensen, C. VS Camarillo, A.",Cal State-Northridge vs Stanford University,,,00:00:04.5,,"Jensen, C.","Camarillo, A.",T8,0,6,1B,2,0,0,Ball,Fastball,87,"","",Hit By Pitch,,T,1,8,6,4
21,309,"Jensen, C. VS Moody, K.",Cal State-Northridge vs Stanford University,,,00:00:13.9,,"Jensen, C.","Moody, K.",T8,0,6,1B-2B,2,0,0,BIP,Fastball,86,Line Drive,Single,,,T,1,8,6,5
21,310,"Jensen, C. VS Sojka, A.",Cal State-Northridge vs Stanford University,,,00:00:04.6,,"Jensen, C.","Sojka, A.",T8,1,6,1B-3B,2,0,0,Strike Taken,Fastball,85,"","",,,T,1,8,6,6
21,311,"Jensen, C. VS Sojka, A.",Cal State-Northridge vs Stanford University,,,00:00:08.4,,"Jensen, C.","Sojka, A.",T8,1,6,1B-3B,2,0,1,BIP,Changeup,76,Line Drive,Lineout,,,T,1,8,6,6
22,312,"Jensen, C. VS Barry, L.",Stanford University vs UTSA,,,00:00:05.4,,"Jensen, C.","Barry, L.",B8,5,5, - ,0,0,0,Strike Taken,Fastball,88,"","",,,B,0,8,5,1
22,313,"Jensen, C. VS Barry, L.",Stanford University vs UTSA,,,00:00:05.4,,"Jensen, C.","Barry, L.",B8,5,5, - ,0,0,1,Strike Taken,Fastball,88,"","",,,B,0,8,5,1
22,314,"Jensen, C. VS Barry, L.",Stanford University vs UTSA,,,00:00:08.2,,"Jensen, C.","Barry, L.",B8,5,5, - ,0,0,2,BIP,Changeup,79,Ground Ball,Groundout,,,B,0,8,5,1
22,315,"Jensen, C. VS Tapia, J.",Stanford University vs UTSA,,,00:00:05.4,,"Jensen, C.","Tapia, J.",B8,5,5, - ,1,0,0,Ball,Slider,75,"","",,,B,0,8,5,2
22,316,"Jensen, C. VS Tapia, J.",Stanford University vs UTSA,,,00:00:05.2,,"Jensen, C.","Tapia, J.",B8,5,5, - ,1,1,0,Ball,Slider,76,"","",,,B,0,8,5,2
22,317,"Jensen, C. VS Tapia, J.",Stanford University vs UTSA,,,00:00:05.3,,"Jensen, C.","Tapia, J.",B8,5,5, - ,1,2,0,Ball,Fastball,88,"","",,,B,0,8,5,2
22,318,"Jensen, C. VS Tapia, J.",Stanford University vs UTSA,,,00:00:05.3,,"Jensen, C.","Tapia, J.",B8,5,5, - ,1,3,0,Ball,Fastball,88,"","",Walk,,B,0,8,5,2
22,319,"Jensen, C. VS Keng, C.",Stanford University vs UTSA,,,00:00:05.3,,"Jensen, C.","Keng, C.",B8,5,5,1B,1,0,0,Strike Taken,Fastball,87,"","",,,B,0,8,5,3
22,320,"Jensen, C. VS Keng, C.",Stanford University vs UTSA,,,00:00:05.2,,"Jensen, C.","Keng, C.",B8,5,5,1B,1,0,1,Strike Swinging,Changeup,81,"","",,,B,0,8,5,3
22,321,"Jensen, C. VS Keng, C.",Stanford University vs UTSA,,,00:00:05.2,,"Jensen, C.","Keng, C.",B8,5,5,1B,1,0,2,Ball,Changeup,81,"","",,,B,0,8,5,3
22,322,"Jensen, C. VS Keng, C.",Stanford University vs UTSA,,,00:00:05.5,,"Jensen, C.","Keng, C.",B8,5,5,1B,1,1,2,Strike Taken,Fastball,86,"","",Strikeout,,B,0,8,5,3
22,323,"Jensen, C. VS Bailey, I.",Stanford University vs UTSA,,,00:00:05.3,,"Jensen, C.","Bailey, I.",B8,5,5,1B,2,0,0,Ball,Slider,74,"","",,,B,0,8,5,4
22,324,"Jensen, C. VS Bailey, I.",Stanford University vs UTSA,,,00:00:05.2,,"Jensen, C.","Bailey, I.",B8,5,5,1B,2,1,0,Foul,Fastball,84,"","",,,B,0,8,5,4
22,325,"Jensen, C. VS Bailey, I.",Stanford University vs UTSA,,,00:00:05.8,,"Jensen, C.","Bailey, I.",B8,5,5,1B,2,1,1,Foul,Slider,74,"","",,,B,0,8,5,4
22,326,"Jensen, C. VS Bailey, I.",Stanford University vs UTSA,,,00:00:08.2,,"Jensen, C.","Bailey, I.",B8,5,5,1B,2,1,2,Ball,Changeup,81,"","",,,B,0,8,5,4
23,327,"Jensen, C. VS Rincones, W.",University of Louisiana at Lafayette vs Stanford University,,,00:00:04.9,,"Jensen, C.","Rincones, W.",T8,1,3, - ,0,0,0,Strike Taken,Fastball,88,"","",,,T,1,8,3,1
23,328,"Jensen, C. VS Rincones, W.",University of Louisiana at Lafayette vs Stanford University,,,00:00:05.0,,"Jensen, C.","Rincones, W.",T8,1,3, - ,0,0,1,Foul,Fastball,87,"","",,,T,1,8,3,1
23,329,"Jensen, C. VS Rincones, W.",University of Louisiana at Lafayette vs Stanford University,,,00:00:05.2,,"Jensen, C.","Rincones, W.",T8,1,3, - ,0,0,2,Ball,Slider,77,"","",,,T,1,8,3,1
23,330,"Jensen, C. VS Rincones, W.",University of Louisiana at Lafayette vs Stanford University,,,00:00:08.9,,"Jensen, C.","Rincones, W.",T8,1,3, - ,0,1,2,BIP,Slider,75,Ground Ball,Groundout,,,T,1,8,3,1
23,331,"Jensen, C. VS Brock, J.",University of Louisiana at Lafayette vs Stanford University,,,00:00:05.1,,"Jensen, C.","Brock, J.",T8,1,3, - ,1,0,0,Ball,Slider,74,"","",,,T,1,8,3,2
23,332,"Jensen, C. VS Brock, J.",University of Louisiana at Lafayette vs Stanford University,,,00:00:08.7,,"Jensen, C.","Brock, J.",T8,1,3, - ,1,1,0,BIP,Fastball,87,Line Drive,Single,,,T,1,8,3,2
23,333,"Jensen, C. VS Lada, B.",University of Louisiana at Lafayette vs Stanford University,,,00:00:05.5,,"Jensen, C.","Lada, B.",T8,1,3,1B,1,0,0,Strike Taken,Fastball,85,"","",,,T,1,8,3,3
23,334,"Jensen, C. VS Lada, B.",University of Louisiana at Lafayette vs Stanford University,,,00:00:05.3,,"Jensen, C.","Lada, B.",T8,1,3,1B,1,0,1,Foul,Fastball,87,"","",,,T,1,8,3,3
23,335,"Jensen, C. VS Lada, B.",University of Louisiana at Lafayette vs Stanford University,,,00:00:09.6,,"Jensen, C.","Lada, B.",T8,1,3,1B,1,0,2,BIP,Slider,74,Line Drive,Fielder's Choice - Out,,,T,1,8,3,3
23,336,"Jensen, C. VS Hood, H.",University of Louisiana at Lafayette vs Stanford University,,,00:00:05.7,,"Jensen, C.","Hood, H.",T8,1,3,1B,2,0,0,Strike Taken,Fastball,85,"","",,,T,1,8,3,4
