#,Title,Notes,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
106,"Bloss, J. VS Brienza, A.",St. John's University (NY) vs Georgetown University,,,00:00:04.8,,"Bloss, J.","Brienza, A.",T1,0-0,-,0,0-1,Foul,Fastball,95,"","",""
107,"Bloss, J. VS Brienza, A.",St. John's University (NY) vs Georgetown University,,,00:00:04.9,,"Bloss, J.","Brienza, A.",T1,0-0,-,0,0-2,Ball,Fastball,96,"","",""
108,"Bloss, J. VS Brienza, A.",St. John's University (NY) vs Georgetown University,,,00:00:08.5,,"Bloss, J.","Brienza, A.",T1,0-0,-,0,1-2,BIP,Fastball,96,Ground Ball,Groundout,""
109,"Bloss, J. VS Glancy, D.",St. John's University (NY) vs Georgetown University,,,00:00:05.5,,"Bloss, J.","Glancy, D.",T1,0-0,-,1,0-0,Foul,Fastball,95,"","",""
110,"Bloss, J. VS Glancy, D.",St. John's University (NY) vs Georgetown University,,,00:00:09.0,,"Bloss, J.","Glancy, D.",T1,0-0,-,1,0-1,BIP,Curveball,78,Ground Ball,Groundout,""
111,"Bloss, J. VS Ballestero, T.",St. John's University (NY) vs Georgetown University,,,00:00:05.4,,"Bloss, J.","Ballestero, T.",T1,0-0,-,2,0-0,Ball,Slider,85,"","",""
112,"Bloss, J. VS Ballestero, T.",St. John's University (NY) vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Ballestero, T.",T1,0-0,-,2,1-0,Strike Swinging,Fastball,96,"","",""
113,"Bloss, J. VS Ballestero, T.",St. John's University (NY) vs Georgetown University,,,00:00:04.7,,"Bloss, J.","Ballestero, T.",T1,0-0,-,2,1-1,Ball,Fastball,96,"","",""
114,"Bloss, J. VS Ballestero, T.",St. John's University (NY) vs Georgetown University,,,00:00:05.7,,"Bloss, J.","Ballestero, T.",T1,0-0,-,2,2-1,Foul,Fastball,95,"","",""
115,"Bloss, J. VS Ballestero, T.",St. John's University (NY) vs Georgetown University,,,00:00:05.7,,"Bloss, J.","Ballestero, T.",T1,0-0,-,2,2-2,Strike Taken,Fastball,95,"","",Strikeout
116,"Bloss, J. VS Mann, A.",St. John's University (NY) vs Georgetown University,,,00:00:04.7,,"Bloss, J.","Mann, A.",T2,0-0,-,0,0-0,Strike Taken,Fastball,95,"","",""
117,"Bloss, J. VS Mann, A.",St. John's University (NY) vs Georgetown University,,,00:00:04.8,,"Bloss, J.","Mann, A.",T2,0-0,-,0,0-1,Strike Swinging,Curveball,78,"","",""
118,"Bloss, J. VS Mann, A.",St. John's University (NY) vs Georgetown University,,,00:00:06.3,,"Bloss, J.","Mann, A.",T2,0-0,-,0,0-2,Ball,Slider,87,"","",""
119,"Bloss, J. VS Mann, A.",St. John's University (NY) vs Georgetown University,,,00:00:05.2,,"Bloss, J.","Mann, A.",T2,0-0,-,0,1-2,Strike Swinging,Fastball,95,"","",Strikeout
120,"Bloss, J. VS Machado, A.",St. John's University (NY) vs Georgetown University,,,00:00:04.7,,"Bloss, J.","Machado, A.",T2,0-0,-,1,0-0,Strike Taken,Fastball,96,"","",""
121,"Bloss, J. VS Machado, A.",St. John's University (NY) vs Georgetown University,,,00:00:04.8,,"Bloss, J.","Machado, A.",T2,0-0,-,1,0-1,Strike Taken,Fastball,96,"","",""
122,"Bloss, J. VS Machado, A.",St. John's University (NY) vs Georgetown University,,,00:00:08.6,,"Bloss, J.","Machado, A.",T2,0-0,-,1,0-2,Strike Swinging,Fastball,96,"","",Strikeout
123,"Bloss, J. VS Keenan, J.",St. John's University (NY) vs Georgetown University,,,00:00:04.6,,"Bloss, J.","Keenan, J.",T2,0-0,-,2,0-0,Strike Taken,Fastball,95,"","",""
124,"Bloss, J. VS Keenan, J.",St. John's University (NY) vs Georgetown University,,,00:00:04.7,,"Bloss, J.","Keenan, J.",T2,0-0,-,2,0-1,Strike Swinging,Fastball,96,"","",""
125,"Bloss, J. VS Keenan, J.",St. John's University (NY) vs Georgetown University,,,00:00:05.0,,"Bloss, J.","Keenan, J.",T2,0-0,-,2,0-2,Ball,Fastball,97,"","",""
126,"Bloss, J. VS Keenan, J.",St. John's University (NY) vs Georgetown University,,,00:00:05.1,,"Bloss, J.","Keenan, J.",T2,0-0,-,2,1-2,Ball,Slider,87,"","",""
127,"Bloss, J. VS Keenan, J.",St. John's University (NY) vs Georgetown University,,,00:00:05.8,,"Bloss, J.","Keenan, J.",T2,0-0,-,2,2-2,Strike Swinging,Fastball,96,"","",Strikeout
128,"Bloss, J. VS Mayberry, B.",St. John's University (NY) vs Georgetown University,,,00:00:04.6,,"Bloss, J.","Mayberry, B.",T3,0-0,-,0,0-0,Strike Swinging,Fastball,94,"","",""
129,"Bloss, J. VS Mayberry, B.",St. John's University (NY) vs Georgetown University,,,00:00:05.6,,"Bloss, J.","Mayberry, B.",T3,0-0,-,0,0-1,Strike Swinging,Fastball,95,"","",""
130,"Bloss, J. VS Mayberry, B.",St. John's University (NY) vs Georgetown University,,,00:00:05.5,,"Bloss, J.","Mayberry, B.",T3,0-0,-,0,0-2,Strike Swinging,Fastball,96,"","",Strikeout
131,"Bloss, J. VS Jeremiah, J.",St. John's University (NY) vs Georgetown University,,,00:00:06.0,,"Bloss, J.","Jeremiah, J.",T3,0-0,-,1,0-0,Foul,Fastball,94,"","",""
132,"Bloss, J. VS Jeremiah, J.",St. John's University (NY) vs Georgetown University,,,00:00:04.7,,"Bloss, J.","Jeremiah, J.",T3,0-0,-,1,0-1,Ball,Curveball,76,"","",""
133,"Bloss, J. VS Jeremiah, J.",St. John's University (NY) vs Georgetown University,,,00:00:06.4,,"Bloss, J.","Jeremiah, J.",T3,0-0,-,1,1-1,Strike Swinging,Slider,86,"","",""
134,"Bloss, J. VS Jeremiah, J.",St. John's University (NY) vs Georgetown University,,,00:00:05.4,,"Bloss, J.","Jeremiah, J.",T3,0-0,-,1,1-2,Strike Swinging,Fastball,96,"","",Strikeout
135,"Bloss, J. VS Tucker, J.",St. John's University (NY) vs Georgetown University,,,00:00:04.8,,"Bloss, J.","Tucker, J.",T3,0-0,-,2,0-0,Strike Taken,Fastball,94,"","",""
136,"Bloss, J. VS Tucker, J.",St. John's University (NY) vs Georgetown University,,,00:00:09.2,,"Bloss, J.","Tucker, J.",T3,0-0,-,2,0-1,Ball,Slider,84,"","",""
137,"Bloss, J. VS Tucker, J.",St. John's University (NY) vs Georgetown University,,,00:00:05.5,,"Bloss, J.","Tucker, J.",T3,0-0,-,2,1-1,Ball,Curveball,78,"","",""
138,"Bloss, J. VS Tucker, J.",St. John's University (NY) vs Georgetown University,,,00:00:05.7,,"Bloss, J.","Tucker, J.",T3,0-0,-,2,2-1,Strike Swinging,Fastball,94,"","",""
139,"Bloss, J. VS Tucker, J.",St. John's University (NY) vs Georgetown University,,,00:00:05.6,,"Bloss, J.","Tucker, J.",T3,0-0,-,2,2-2,Strike Swinging,Fastball,95,"","",Strikeout
140,"Bloss, J. VS Brienza, A.",St. John's University (NY) vs Georgetown University,,,00:00:04.8,,"Bloss, J.","Brienza, A.",T4,0-2,-,0,0-0,Strike Swinging,Fastball,93,"","",""
